idPlayer,kmeans_cluster,archetype,hierarchical_cluster,kda_ratio,headshot_rate,win_rate,entry_aggression,support_score,objective_score
1562,0,Passive/Low Impact,2,1.0256502890173411,0.3780297107114933,0.37410071942446044,0.08296213808463251,0.032056293979671614,0.0467706013363029
1563,2,Balanced Aggressor,1,1.0664335664335667,0.3840304182509505,0.6,0.09042553191489361,0.011406844106463879,0.02127659574468085
1564,3,Dominant Fragger,0,1.5314401622718052,0.4043795620437956,0.6428571428571429,0.16405135520684735,0.01897810218978102,0.03851640513552068
1565,2,Balanced Aggressor,0,1.0768037238169124,0.3646960865945046,0.6166666666666667,0.13275968039336203,0.026644462947543714,0.037492317148125384
1566,1,Support/Utility Player,3,0.9815950920245399,0.30123456790123454,0.4782608695652174,0.04776579352850539,0.029629629629629627,0.09399075500770418
1567,1,Support/Utility Player,1,1.145658263305322,0.4264840182648402,0.4444444444444444,0.07833677923271307,0.032267884322678846,0.07190443372386861
1569,2,Balanced Aggressor,1,1.2466076696165191,0.36564805057955746,0.5465116279069767,0.12244897959183673,0.014225500526870391,0.06610470275066549
1571,2,Balanced Aggressor,1,1.0881226053639845,0.3615428900402994,0.4842105263157895,0.09578696343402225,0.029936672423719057,0.06160572337042925
1572,3,Dominant Fragger,0,1.5988483685220727,0.31213613972234666,0.6956521739130435,0.12194074710176041,0.017913121361397225,0.07642765135251181
1573,3,Dominant Fragger,0,2.0965250965250966,0.32454361054766734,0.5,0.14841849148418493,0.004056795131845842,0.06326034063260341
1574,3,Dominant Fragger,0,1.3473389355742298,0.30037082818294186,0.5526315789473685,0.1525252525252525,0.022249690976514212,0.06565656565656565
1575,1,Support/Utility Player,3,1.0522088353413654,0.3590859630032644,0.5576923076923077,0.06578947368421054,0.08052230685527748,0.07456140350877194
1578,2,Balanced Aggressor,1,1.2406542056074767,0.33804347826086956,0.46551724137931033,0.11907203281209947,0.02934782608695652,0.0616508587541656
1581,1,Support/Utility Player,3,1.1109765940274416,0.32244556113902845,0.5193798449612403,0.07640711577719451,0.058626465661641536,0.07961504811898514
1582,2,Balanced Aggressor,1,1.06195462478185,0.3943661971830986,0.4444444444444444,0.09553695955369595,0.016901408450704224,0.04672245467224547
1584,1,Support/Utility Player,2,1.1017293997965412,0.3111111111111111,0.44680851063829785,0.0888208269525268,0.03174603174603175,0.06355283307810107
1585,0,Passive/Low Impact,2,0.7675097276264592,0.33446932814021424,0.363013698630137,0.06182795698924731,0.03261927945472249,0.08602150537634408
1587,0,Passive/Low Impact,3,0.898550724637681,0.40764331210191085,0.4,0.06968641114982578,0.01910828025477707,0.0627177700348432
1589,3,Dominant Fragger,0,1.4816513761467889,0.36531791907514455,0.6944444444444444,0.14859002169197397,0.019653179190751442,0.06616052060737528
1590,0,Passive/Low Impact,2,0.687683284457478,0.31503267973856214,0.3968253968253968,0.03529411764705882,0.009150326797385621,0.04470588235294117
1591,2,Balanced Aggressor,0,1.1976190476190476,0.33460754332313963,0.45,0.12994696042431658,0.020897043832823647,0.04834761321909425
